time,site,et,hectares,megaliters
2016-04-02,US-Tw3,3.077,2.13,0.066
2016-04-02,US-Twt,1.561,2.125,0.033
2016-04-03,US-Bi1,3.794,2.126,0.081
2016-04-03,US-Bi2,1.589,2.129,0.034
2016-04-03,US-Tw3,3.319,2.13,0.071
2016-04-03,US-Twt,1.692,2.125,0.036
2016-04-04,US-Bi1,4.275,2.126,0.091
2016-04-04,US-Bi2,1.769,2.129,0.038
2016-04-04,US-Tw3,3.809,2.13,0.081
2016-04-04,US-Twt,1.951,2.125,0.041
2016-04-05,US-Bi1,4.573,2.126,0.097
2016-04-05,US-Bi2,1.871,2.129,0.04
2016-04-05,US-Tw3,4.048,2.13,0.086
2016-04-05,US-Twt,2.085,2.125,0.044
2016-04-06,US-Bi1,4.498,2.126,0.096
2016-04-06,US-Bi2,1.819,2.129,0.039
2016-04-06,US-Tw3,4.204,2.13,0.09
2016-04-06,US-Twt,2.176,2.125,0.046
2016-04-07,US-Bi1,4.328,2.126,0.092
2016-04-07,US-Bi2,1.73,2.129,0.037
2016-04-07,US-Tw3,3.784,2.13,0.081
2016-04-07,US-Twt,1.968,2.125,0.042
2016-04-08,US-Bi1,3.307,2.126,0.07
2016-04-08,US-Bi2,1.306,2.129,0.028
2016-04-08,US-Tw3,2.873,2.13,0.061
2016-04-08,US-Twt,1.501,2.125,0.032
2016-04-09,US-Bi1,1.708,2.126,0.036
2016-04-09,US-Bi2,0.667,2.129,0.014
2016-04-09,US-Tw3,1.392,2.13,0.03
2016-04-09,US-Twt,0.731,2.125,0.016
2016-04-10,US-Bi1,1.524,2.126,0.032
2016-04-10,US-Bi2,0.588,2.129,0.013
2016-04-10,US-Tw3,1.307,2.13,0.028
2016-04-10,US-Twt,0.69,2.125,0.015
2016-04-11,US-Bi1,2.774,2.126,0.059
2016-04-11,US-Bi2,1.057,2.129,0.023
2016-04-11,US-Tw3,2.364,2.13,0.05
2016-04-11,US-Twt,1.254,2.125,0.027
2016-04-12,US-Bi1,3.649,2.126,0.078
2016-04-12,US-Bi2,1.375,2.129,0.029
2016-04-12,US-Tw3,3.091,2.13,0.066
2016-04-12,US-Twt,1.648,2.125,0.035
2016-04-13,US-Bi1,4.339,2.126,0.092
2016-04-13,US-Bi2,1.615,2.129,0.034
2016-04-13,US-Tw3,3.815,2.13,0.081
2016-04-13,US-Twt,2.044,2.125,0.043
2016-04-14,US-Bi1,3.775,2.126,0.08
2016-04-14,US-Bi2,1.389,2.129,0.03
2016-04-14,US-Tw3,3.077,2.13,0.066
2016-04-14,US-Twt,1.657,2.125,0.035
2016-04-15,US-Bi1,5.248,2.126,0.112
2016-04-15,US-Bi2,1.907,2.129,0.041
2016-04-15,US-Tw3,4.202,2.13,0.09
2016-04-15,US-Twt,2.273,2.125,0.048
2016-04-16,US-Bi1,4.781,2.126,0.102
2016-04-16,US-Bi2,1.717,2.129,0.037
2016-04-16,US-Tw3,4.031,2.13,0.086
2016-04-16,US-Twt,2.192,2.125,0.047
2016-04-17,US-Bi1,4.585,2.126,0.097
2016-04-17,US-Bi2,1.647,2.129,0.035
2016-04-17,US-Tw3,3.833,2.13,0.082
2016-04-17,US-Twt,2.098,2.125,0.045
2016-04-18,US-Bi1,4.779,2.126,0.102
2016-04-18,US-Bi2,1.716,2.129,0.037
2016-04-18,US-Tw3,3.954,2.13,0.084
2016-04-18,US-Twt,2.179,2.125,0.046
2016-04-19,US-Bi1,4.778,2.126,0.102
2016-04-19,US-Bi2,1.716,2.129,0.037
2016-04-19,US-Tw3,3.837,2.13,0.082
2016-04-19,US-Twt,2.13,2.125,0.045
2016-04-20,US-Bi1,4.972,2.126,0.106
2016-04-20,US-Bi2,1.786,2.129,0.038
2016-04-20,US-Tw3,3.876,2.13,0.083
2016-04-20,US-Twt,2.167,2.125,0.046
2016-04-21,US-Bi1,4.289,2.126,0.091
2016-04-21,US-Bi2,1.541,2.129,0.033
2016-04-21,US-Tw3,3.377,2.13,0.072
2016-04-21,US-Twt,1.901,2.125,0.04
2016-04-22,US-Bi1,2.923,2.126,0.062
2016-04-22,US-Bi2,1.05,2.129,0.022
2016-04-22,US-Tw3,2.355,2.13,0.05
2016-04-22,US-Twt,1.336,2.125,0.028
2016-04-23,US-Bi1,4.092,2.126,0.087
2016-04-23,US-Bi2,1.47,2.129,0.031
2016-04-23,US-Tw3,3.234,2.13,0.069
2016-04-23,US-Twt,1.847,2.125,0.039
2016-04-24,US-Bi1,4.578,2.126,0.097
2016-04-24,US-Bi2,1.645,2.129,0.035
2016-04-24,US-Tw3,3.498,2.13,0.075
2016-04-24,US-Twt,2.013,2.125,0.043
2016-04-25,US-Bi1,5.186,2.126,0.11
2016-04-25,US-Bi2,1.822,2.129,0.039
2016-04-25,US-Tw3,4.077,2.13,0.087
2016-04-25,US-Twt,2.227,2.125,0.047
2016-04-26,US-Bi1,4.425,2.126,0.094
2016-04-26,US-Bi2,1.494,2.129,0.032
2016-04-26,US-Tw3,3.599,2.13,0.077
2016-04-26,US-Twt,1.864,2.125,0.04
2016-04-27,US-Bi1,3.661,2.126,0.078
2016-04-27,US-Bi2,1.186,2.129,0.025
2016-04-27,US-Tw3,2.95,2.13,0.063
2016-04-27,US-Twt,1.447,2.125,0.031
2016-04-28,US-Bi1,5.211,2.126,0.111
2016-04-28,US-Bi2,1.617,2.129,0.034
2016-04-28,US-Tw3,4.328,2.13,0.092
2016-04-28,US-Twt,2.008,2.125,0.043
2016-04-29,US-Bi1,4.833,2.126,0.103
2016-04-29,US-Bi2,1.434,2.129,0.031
2016-04-29,US-Tw3,4.148,2.13,0.088
2016-04-29,US-Twt,1.816,2.125,0.039
2016-04-30,US-Bi1,6.487,2.126,0.138
2016-04-30,US-Bi2,1.838,2.129,0.039
2016-04-30,US-Tw3,5.335,2.13,0.114
2016-04-30,US-Twt,2.2,2.125,0.047
2016-05-01,US-Bi1,5.135,2.126,0.109
2016-05-01,US-Bi2,1.385,2.129,0.029
2016-05-01,US-Tw3,4.466,2.13,0.095
2016-05-01,US-Twt,1.732,2.125,0.037
2016-05-02,US-Bi1,5.144,2.126,0.109
2016-05-02,US-Bi2,1.319,2.129,0.028
2016-05-02,US-Tw3,4.524,2.13,0.096
2016-05-02,US-Twt,1.645,2.125,0.035
2016-05-03,US-Bi1,4.673,2.126,0.099
2016-05-03,US-Bi2,1.23,2.129,0.026
2016-05-03,US-Tw3,4.092,2.13,0.087
2016-05-03,US-Twt,1.502,2.125,0.032
2016-05-04,US-Bi1,4.678,2.126,0.099
2016-05-04,US-Bi2,1.264,2.129,0.027
2016-05-04,US-Tw3,4.154,2.13,0.088
2016-05-04,US-Twt,1.538,2.125,0.033
2016-05-05,US-Bi1,3.727,2.126,0.079
2016-05-05,US-Bi2,1.033,2.129,0.022
2016-05-05,US-Tw3,3.269,2.13,0.07
2016-05-05,US-Twt,1.221,2.125,0.026
2016-05-06,US-Bi1,2.679,2.126,0.057
2016-05-06,US-Bi2,0.761,2.129,0.016
2016-05-06,US-Tw3,2.357,2.13,0.05
2016-05-06,US-Twt,0.888,2.125,0.019
2016-05-07,US-Bi1,1.532,2.126,0.033
2016-05-07,US-Bi2,0.446,2.129,0.009
2016-05-07,US-Tw3,1.328,2.13,0.028
2016-05-07,US-Twt,0.504,2.125,0.011
2016-05-08,US-Bi1,3.164,2.126,0.067
2016-05-08,US-Bi2,0.942,2.129,0.02
2016-05-08,US-Tw3,3.143,2.13,0.067
2016-05-08,US-Twt,1.203,2.125,0.026
2016-05-09,US-Bi1,4.415,2.126,0.094
2016-05-09,US-Bi2,1.344,2.129,0.029
2016-05-09,US-Tw3,4.28,2.13,0.091
2016-05-09,US-Twt,1.65,2.125,0.035
2016-05-10,US-Bi1,5.573,2.126,0.118
2016-05-10,US-Bi2,1.735,2.129,0.037
2016-05-10,US-Tw3,5.262,2.13,0.112
2016-05-10,US-Twt,2.043,2.125,0.043
2016-05-11,US-Bi1,5.271,2.126,0.112
2016-05-11,US-Bi2,1.658,2.129,0.035
