time,site,et,hectares,megaliters
2016-04-17,US-Bi1,4.755,2.126,0.101
2016-04-17,US-Bi2,1.956,2.129,0.042
2016-04-17,US-Tw3,3.265,2.13,0.07
2016-04-17,US-Twt,1.613,2.125,0.034
2016-04-18,US-Bi1,5.018,2.126,0.107
2016-04-18,US-Bi2,2.01,2.129,0.043
2016-04-18,US-Tw3,3.342,2.13,0.071
2016-04-18,US-Twt,1.655,2.125,0.035
2016-04-19,US-Bi1,5.078,2.126,0.108
2016-04-19,US-Bi2,1.981,2.129,0.042
2016-04-19,US-Tw3,3.218,2.13,0.069
2016-04-19,US-Twt,1.597,2.125,0.034
2016-04-20,US-Bi1,5.349,2.126,0.114
2016-04-20,US-Bi2,2.031,2.129,0.043
2016-04-20,US-Tw3,3.224,2.13,0.069
2016-04-20,US-Twt,1.604,2.125,0.034
2016-04-21,US-Bi1,4.669,2.126,0.099
2016-04-21,US-Bi2,1.726,2.129,0.037
2016-04-21,US-Tw3,2.785,2.13,0.059
2016-04-21,US-Twt,1.389,2.125,0.03
2016-04-22,US-Bi1,3.221,2.126,0.068
2016-04-22,US-Bi2,1.159,2.129,0.025
2016-04-22,US-Tw3,1.926,2.13,0.041
2016-04-22,US-Twt,0.963,2.125,0.02
2016-04-23,US-Bi1,4.561,2.126,0.097
2016-04-23,US-Bi2,1.597,2.129,0.034
2016-04-23,US-Tw3,2.62,2.13,0.056
2016-04-23,US-Twt,1.314,2.125,0.028
2016-04-24,US-Bi1,5.162,2.126,0.11
2016-04-24,US-Bi2,1.76,2.129,0.037
2016-04-24,US-Tw3,2.808,2.13,0.06
2016-04-24,US-Twt,1.412,2.125,0.03
2016-04-25,US-Bi1,6.125,2.126,0.13
2016-04-25,US-Bi2,1.773,2.129,0.038
2016-04-25,US-Tw3,3.319,2.13,0.071
2016-04-25,US-Twt,1.421,2.125,0.03
2016-04-26,US-Bi1,5.151,2.126,0.11
2016-04-26,US-Bi2,1.298,2.129,0.028
2016-04-26,US-Tw3,2.97,2.13,0.063
2016-04-26,US-Twt,1.061,2.125,0.023
2016-04-27,US-Bi1,4.2,2.126,0.089
2016-04-27,US-Bi2,0.897,2.129,0.019
2016-04-27,US-Tw3,2.466,2.13,0.053
2016-04-27,US-Twt,0.716,2.125,0.015
2016-04-28,US-Bi1,5.89,2.126,0.125
2016-04-28,US-Bi2,1.026,2.129,0.022
2016-04-28,US-Tw3,3.664,2.13,0.078
2016-04-28,US-Twt,0.831,2.125,0.018
2016-04-29,US-Bi1,5.381,2.126,0.114
2016-04-29,US-Bi2,0.72,2.129,0.015
2016-04-29,US-Tw3,3.554,2.13,0.076
2016-04-29,US-Twt,0.591,2.125,0.013
2016-04-30,US-Bi1,7.113,2.126,0.151
2016-04-30,US-Bi2,0.655,2.129,0.014
2016-04-30,US-Tw3,4.624,2.13,0.098
2016-04-30,US-Twt,0.504,2.125,0.011
2016-05-01,US-Bi1,5.545,2.126,0.118
2016-05-01,US-Bi2,0.274,2.129,0.006
2016-05-01,US-Tw3,3.914,2.13,0.083
2016-05-01,US-Twt,0.213,2.125,0.005
2016-05-02,US-Bi1,5.468,2.126,0.116
2016-05-02,US-Bi2,0.03,2.129,0.001
2016-05-02,US-Tw3,4.008,2.13,0.085
2016-05-02,US-Twt,0.009,2.125,0.0
2016-05-03,US-Bi1,4.963,2.126,0.106
2016-05-03,US-Bi2,0.024,2.129,0.001
2016-05-03,US-Tw3,3.645,2.13,0.078
2016-05-03,US-Twt,0.022,2.125,0.0
2016-05-04,US-Bi1,4.965,2.126,0.106
2016-05-04,US-Bi2,0.02,2.129,0.0
2016-05-04,US-Tw3,3.719,2.13,0.079
2016-05-04,US-Twt,0.037,2.125,0.001
2016-05-05,US-Bi1,3.953,2.126,0.084
2016-05-05,US-Bi2,0.014,2.129,0.0
2016-05-05,US-Tw3,2.942,2.13,0.063
2016-05-05,US-Twt,0.04,2.125,0.001
2016-05-06,US-Bi1,2.839,2.126,0.06
2016-05-06,US-Bi2,0.008,2.129,0.0
2016-05-06,US-Tw3,2.131,2.13,0.045
2016-05-06,US-Twt,0.036,2.125,0.001
2016-05-07,US-Bi1,1.623,2.126,0.035
2016-05-07,US-Bi2,0.003,2.129,0.0
2016-05-07,US-Tw3,1.207,2.13,0.026
2016-05-07,US-Twt,0.024,2.125,0.001
2016-05-08,US-Bi1,3.348,2.126,0.071
2016-05-08,US-Bi2,0.005,2.129,0.0
2016-05-08,US-Tw3,2.869,2.13,0.061
2016-05-08,US-Twt,0.067,2.125,0.001
2016-05-09,US-Bi1,4.669,2.126,0.099
2016-05-09,US-Bi2,0.003,2.129,0.0
2016-05-09,US-Tw3,3.924,2.13,0.084
2016-05-09,US-Twt,0.104,2.125,0.002
2016-05-10,US-Bi1,5.888,2.126,0.125
2016-05-10,US-Bi2,0.0,2.129,0.0
2016-05-10,US-Tw3,4.845,2.13,0.103
2016-05-10,US-Twt,0.142,2.125,0.003
2016-05-11,US-Bi1,5.559,2.126,0.118
2016-05-11,US-Bi2,0.0,2.129,0.0
2016-05-11,US-Tw3,4.891,2.13,0.104
2016-05-11,US-Twt,0.128,2.125,0.003
2016-05-12,US-Bi1,5.711,2.126,0.121
2016-05-12,US-Bi2,0.0,2.129,0.0
2016-05-12,US-Tw3,5.023,2.13,0.107
2016-05-12,US-Twt,0.116,2.125,0.002
2016-05-13,US-Bi1,4.899,2.126,0.104
2016-05-13,US-Bi2,0.0,2.129,0.0
2016-05-13,US-Tw3,4.371,2.13,0.093
2016-05-13,US-Twt,0.088,2.125,0.002
2016-05-14,US-Bi1,5.052,2.126,0.107
2016-05-14,US-Bi2,0.0,2.129,0.0
2016-05-14,US-Tw3,4.764,2.13,0.101
2016-05-14,US-Twt,0.081,2.125,0.002
